Museum_Name,Museum_ID,State
"AFRICAN AMERICAN HERITAGE MUSEUM OF SOUTHERN NEW JERSEY",8403400104,NJ
"AFRICAN AMERICAN HERITAGE PRESERVATION GROUP",8402400253,MD
"AFRICAN AMERICAN HERITAGE PROJECT",8404801762,TX
"AFRICAN AMERICAN HERITAGE SOCIETY",8402400506,MD
"AFRICAN AMERICAN HERITAGE SOCIETY MUSEUM",8404700467,TN
"AFRICAN AMERICAN HERITAGE SOCIETY OF MAURY COUNTY",8404700252,TN
"AFRICAN AMERICAN HERITAGE TRAIL",8400100163,AL
"AFRICAN AMERICAN HERITAGE TRAIL OF MARTHA'S VINEYARD",8402500541,MA
"AFRICAN AMERICAN HERTIAGE FAMILY TREE MUSUEM",8405400198,WV
"AFRICAN AMERICAN HISTORICAL & CIVIL RIGHTS MUSEUM",8402700595,MN
"AFRICAN AMERICAN HISTORICAL & MULTI-CULTURAL ARTS CENTER OF LUFKIN",8404800637,TX
"AFRICAN AMERICAN HISTORICAL AND CULTURAL MUSEUM OF THE SAN JOAQUIN VALLEY",8400601939,CA
"AFRICAN AMERICAN HISTORICAL AND CULTURAL SOCIETY OF BUCKS COUNTY",8404200914,PA
"AFRICAN AMERICAN HISTORICAL AND GENEALOGICAL SOCIETY OF SURRY COUNTY",8403700351,NC
"AFRICAN AMERICAN HISTORICAL ASSOCIATION OF FAIRFIELD COUNTY",8400900505,CT
"AFRICAN AMERICAN HISTORICAL RESEARCH AND PRESERVATION",8403700613,NC
"AFRICAN AMERICAN HISTORICAL SOCIETY",8403602079,NY
"AFRICAN AMERICAN HISTORICAL SOCIETY OF PORTSMOUTH",8405100830,VA
"AFRICAN AMERICAN LEGACY PROJECT OF NORTHWEST OHIO",8403900494,OH
"AFRICAN AMERICAN METHODIST HERITAGE CENTER",8403400130,NJ
"AFRICAN AMERICAN MILITARY HISTORY MUSEUM",8402800050,MS
"AFRICAN AMERICAN MULTICULTURAL MUSEUM",8400400262,AZ
"AFRICAN AMERICAN MUSEUM",8403900321,OH
"AFRICAN AMERICAN MUSEUM AND CULTURAL CENTER OF NEW MEXICO",8403500081,NM
"AFRICAN AMERICAN MUSEUM IN PHILADELPHIA",8404200502,PA
"AFRICAN AMERICAN MUSEUM MEMORIAL",8404700214,TN
"AFRICAN AMERICAN MUSEUM OF FINE ARTS",8400601246,CA
"AFRICAN AMERICAN MUSEUM OF THE ARTS",8401200956,FL
"AFRICAN AMERICAN NATIONAL HERITAGE SOCIETY",8404801309,TX
"AFRICAN AMERICAN OF GRAYSON COUNTY EXPERIENCE COMMUNITY MUSEUM",8404800864,TX
"AFRICAN AMERICAN SCHOOLHOUSE MUSEUM & HERITAGE COUNCIL",8402400244,MD
"AFRICAN AMERICAN SPORTS MUSEUM",8401300647,GA
"AFRICAN ART MUSEUM OF MARYLAND",8402400375,MD
"AFRICAN BEAD MUSEUM",8402600201,MI
"AFRICAN HERITAGE CULTURAL ARTS CENTER",8401200232,FL
"AFRICAN HOLOCAUST MEMORIAL COMMISSION",8401700852,IL
"AFRICAN MEETING HOUSE",8402500218,MA
"AFRICAN RAINFOREST NATURE CENTER",8402400111,MD
"AFRICAN ROCK ARTS",8401700885,IL
"AFRICAN ROOTS MUSEUM",8404700245,TN
"AFRICAN SAFARI WILDLIFE PARK",8409500003,OH
"AFRICAN THEOLOGICAL ARCHMINISTRY",8404500257,SC
"AFRICAN-AFRICAN AMERICAN HISTORICAL SOCIETY",8401800576,IN
"AFRICAN-AMERICAN COMMUNITY ASSOCIATION OF JEFFERSON COUNTY",8405400212,WV
"AFRICAN-AMERICAN HALL OF FAME MUSEUM",8401701092,IL
"AFRICAN-AMERICAN HERITAGE MUSEUM AND BLACK VETERAN'S ARCHIVES",8401700263,IL
"AFRICAN-AMERICAN HERITAGE MUSM",8401700264,IL
"AFRICAN-AMERICAN HISTORICAL ASSOCIATION OF NEWTON COUNTY",8401300281,GA
"AFRICAN-AMERICAN MUSEUM - BOWLING GREEN AREA",8402100230,KY
"AFRICAN-AMERICAN RESEARCH LIBRARY AND CULTURAL CENTER",8401300707,GA
"AFRICAN-AMERICAN WAX MUSEUM OF HARLEM",8403600435,NY
"AFRICAN-ATLANTIC GENEALOGICAL SOCIETY",8403600636,NY
"AFRICANA RESEARCH MUSEUM",8403600418,NY
"AFRICIAN AMERICAN ALLIANCE",8401300712,GA
AFRITERRA,8401200971,FL
"AFRO-AMERICAN HISTORICAL AND GENEALOGICAL SOCIETY",8400800344,CO
"AFRO-AMERICAN MUSEUM",8400600585,CA
"AFTON HISTORICAL SOCIETY",8402700384,MN
"AG HERITAGE PARK",8402000478,KS
"AGAPE CHILDRENS MUSEUM",8409400024,CA
"AGATE FOSSIL BEDS NATIONAL MONUMENT",8403100376,NE
